�(Nm),532,655,532,655,532,655,532,655,532,655
Distance(Cm),10,10,50,50,100,100,200,200,500,500
Time(s),Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux,Lux
5.35,17592.28711,27907.45117,18781.92773,27709.17773,311938.8125,27600.12891,67086.23438,16734.75586,605.0351563,8010.008789
5.4,17294.87695,27981.80469,18806.71094,27714.13477,311938.8125,27595.17188,66625.25,16883.46094,660.3258667,7501.851563
5.45,17284.96484,28026.41602,18836.45117,27714.13477,311938.8125,27595.17188,66461.67969,16868.58984,943.7402954,7131.324219
5.5,17275.05078,28046.24219,18806.71094,27724.04883,311938.8125,27595.17188,66456.71875,16640.57617,1229.939209,6513.580078
5.55,17319.66211,28051.19922,18796.79688,27694.30859,311938.8125,27595.17188,67259.72656,16650.49023,2465.427246,6287.842773
5.6,17349.40234,28051.19922,18643.13477,27729.00586,311938.8125,27595.17188,66962.32031,16714.92773,2592.715088,6574.638672
5.65,17314.70508,28046.24219,18583.6543,27714.13477,311938.8125,27600.12891,65148.11719,16536.48242,2544.982178,6893.853027
5.7,17354.35938,28061.11328,18573.74023,27719.0918,311938.8125,27600.12891,66119.65625,16338.20996,2306.317383,7076.431641
5.75,17349.40234,28061.11328,18519.21484,27738.91992,311938.8125,27600.12891,65762.76563,16571.17969,1969.004395,6554.75
5.8,17423.75586,28071.02734,18484.51758,27743.87695,311938.8125,27600.12891,66664.90625,16819.02148,2427.638672,6595.124023
5.85,17448.53906,28066.07031,18434.94922,27758.74609,311938.8125,27600.12891,66878.05469,17022.25195,2480.542725,6773.327148
5.9,17473.32422,28071.02734,18499.38672,27738.91992,311938.8125,27600.12891,68201.52344,16888.41797,3265.94873,6638.879395
5.95,17458.45313,28061.11328,18489.47461,27738.91992,311938.8125,27600.12891,68206.48438,16908.24414,5185.012695,6792.022461
6,17443.58203,28061.11328,18429.99219,27738.91992,311938.8125,27600.12891,68786.42969,16937.98633,6900.416016,6792.619141
6.05,17423.75586,28061.11328,18420.07813,27743.87695,311938.8125,27600.12891,69614.21875,16536.48242,9027.317383,6797.392578
6.1,17324.61914,28056.15625,18311.02734,27753.79102,311938.8125,27600.12891,68246.13281,16655.44727,9913.757813,6852.285645
6.15,17161.04297,28061.11328,18291.20117,27753.79102,311933.8438,27605.08594,68082.5625,16769.45313,9576.047852,7302.964355
6.2,17116.43164,28056.15625,18246.58984,27763.70313,311933.8438,27605.08594,67205.20313,16918.1582,10946.38086,7532.47998
6.25,17131.30273,28041.28711,18187.10742,27773.61719,311933.8438,27605.08594,65876.77344,16625.70508,11114.44141,7869.395508
6.3,17175.91406,28041.28711,18127.625,27783.53125,311933.8438,27605.08594,65554.57813,16422.47656,13869.70801,7740.715332
6.35,17299.83398,28051.19922,18028.48828,27763.70313,311933.8438,27610.04297,66035.39063,16501.78516,16908.24414,7682.441406
6.4,17374.1875,28066.07031,17993.79102,27753.79102,311933.8438,27605.08594,65316.64844,16397.69141,16437.3457,7654.795898
6.45,17433.66992,28071.02734,17969.00586,27753.79102,311933.8438,27595.17188,64607.82422,16239.07324,17339.49023,7557.540039
6.5,17463.41016,28066.07031,17949.17969,27763.70313,311933.8438,27600.12891,64791.22656,15892.09473,18633.22266,7792.02832
6.55,17542.71875,28066.07031,17959.09375,27768.66016,311933.8438,27600.12891,65509.96484,15629.38281,19351.96289,7596.919434
6.6,17607.1582,28066.07031,17954.13672,27763.70313,311933.8438,27600.12891,64786.26953,15688.86426,19842.68945,7605.272949
